Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
10/19/2020,392,109.95662,185.7849274,45.1227648,34.99646131,53.57275227,30.544718,1.017459465,12.35369282,47.64130477,3.005383635,23.22292925,1.682611893
10/20/2020,391,119.9142335,200.0344873,46.42163498,37.57063701,55.98226807,31.66123382,1.048529681,12.46876919,49.02951838,3.349972967,25.12671055,1.804935649
10/21/2020,368,130.4874418,212.5940278,48.00489295,39.07870833,57.41580462,32.96245549,1.10979438,13.29538627,50.52827103,3.502236094,25.44294664,1.782534211
10/22/2020,365,142.0003753,224.528774,50.19978289,39.32993403,59.27870139,33.74482064,1.23669963,13.49745821,52.05200559,3.757110232,26.3175161,1.888397692
10/23/2020,383,150.1030558,231.1213202,48.04953445,39.03837866,57.90196075,34.38885122,1.165760687,13.75571374,52.68839116,3.700301445,25.71383186,1.963324687
10/24/2020,367,157.6133071,230.0806868,48.53915416,38.97132091,56.90965513,35.88631254,1.212592007,13.60559775,51.2714509,3.717223302,25.1832307,1.776857543
10/25/2020,334,166.0095031,234.5821591,47.49147981,37.83289736,55.09427408,36.86722053,1.34158542,14.01744465,52.86839211,3.587823033,23.88255989,1.743027153
10/26/2020,258,173.9514888,243.3344496,50.71048131,41.10949984,59.42421453,38.30779076,1.331423602,14.58863479,53.5270318,3.70142765,24.37505622,1.704330617
10/27/2020,234,184.0287125,255.1345907,50.60801208,43.33752438,60.34156072,39.35537197,1.364650518,14.43190515,53.9990459,4.004798875,25.91185762,1.766020701
10/28/2020,257,194.055185,264.9063838,50.83732656,44.48129328,60.30355296,40.49969583,1.424466622,14.97658386,54.50861547,4.113820917,25.87161595,1.684150789
10/29/2020,259,204.3336081,273.7353095,51.75222201,44.35510294,60.74824359,41.03899823,1.545983246,14.89148899,54.98841453,4.323963085,26.40568645,1.733033539
10/30/2020,279,210.504925,276.9275219,48.42048599,43.67809015,58.03807256,41.35743721,1.465459654,14.86217306,54.54544063,4.221466304,25.48262783,1.754725127
10/31/2020,312,215.3907553,272.2186455,47.84907919,43.22250645,55.82642195,42.45216596,1.498344611,14.42871596,52.03365858,4.192271504,24.65847875,1.519927737
11/1/2020,372,220.4863844,272.8133231,45.87964736,41.69723121,52.93216107,42.96021015,1.608964126,14.56579696,52.54033425,4.016835817,23.09424039,1.443704293
11/2/2020,387,224.4816378,277.4520614,48.3313607,44.59304571,56.34640806,43.86624655,1.57604218,14.87475978,52.13296459,4.084969268,23.3566632,1.369429583
11/3/2020,408,230.008673,284.9657852,47.62729729,46.45027019,56.5296754,44.32733056,1.582275854,14.471844,51.5820458,4.343881034,24.69968009,1.403057472
11/4/2020,398,234.9363097,290.3139359,47.42769638,47.23658892,55.95281672,44.8439103,1.611132417,14.78935432,51.12926544,4.409859562,24.50395723,1.301148503
11/5/2020,403,239.6332532,294.6190189,48.08894689,46.76901916,56.06228884,44.72568884,1.698102698,14.49850942,50.72307557,4.578728689,24.92203925,1.338316568
11/6/2020,361,239.8164805,293.2252327,44.67699697,45.76871933,53.22347298,44.3687671,1.579934127,14.28665316,49.48415852,4.437029002,23.92282427,1.356706877
11/7/2020,378,238.3922774,283.9068994,44.19261546,45.00922794,51.08712279,44.78243333,1.572665336,13.69503084,46.2777656,4.370942553,23.06183537,1.126898023
